network,station,latitude,longitude,elevation
CI,ACP,32.9546,-116.30338,392
CI,ADO,34.55046,-117.43391,908
CI,AGM,32.84474,-114.78425,324
CI,AGO,34.14647,-118.76699,259
CI,ALP,34.68708,-118.29946,753
CI,APL,35.34149,-116.87464,959
CI,ARV,35.1269,-118.83009,258
CI,ASP,35.86114,-119.38511,64
CI,AVC,33.33312,-118.33542,0
CI,AVM,35.06562,-116.61549,708
CI,BAC,33.6122,-117.0406,551
CI,BAI,34.77695,-118.77335,1035
CI,BAK,35.34444,-119.10445,116
CI,BAR,32.68005,-116.67215,529
CI,BBR,34.2623,-116.92075,2069
CI,BBS,33.92139,-116.98058,785
CI,BC3,33.65515,-115.45366,1137
CI,BCW,34.94009,-119.41313,1101
CI,BEL,34.0006,-115.9982,1388
CI,BFS,34.23883,-117.65853,1312
CI,BHP,33.99053,-118.36171,81
CI,BLA2,34.06931,-116.38993,1247
CI,BLC,34.24356,-118.67312,607
CI,BLY,33.7503,-114.52375,201
CI,BOM,33.36465,-115.72963,-54
CI,BOR,33.2682,-116.41716,252
CI,BRE,33.80776,-117.98116,24
CI,BTP,34.68224,-118.57398,1702
CI,BUE,34.61299,-120.19679,110
CI,CAC,34.13678,-118.12199,230
CI,CAR,35.30819,-119.84583,765
CI,CBC,34.13972,-118.12715,253
CI,CBC,34.13989,-118.12756,253
CI,CBC,34.14011,-118.1275,239
CI,CBC,34.14011,-118.1275,248
CI,CCA,35.15252,-118.01649,710
CI,CCC,35.52495,-117.36453,670
CI,CDD,32.58395,-114.35617,213
CI,CDM,34.36855,-119.34144,166
CI,CFD,34.39927,-119.51576,8
CI,CFS,34.10539,-117.28287,312
CI,CFT,34.03547,-117.11241,682
CI,CGO,36.5504,-117.80295,2795
CI,CHF,34.33341,-118.02585,1594
CI,CHI,34.18156,-119.22244,3
CI,CHK,34.06714,-118.97118,258
CI,CHN,33.99879,-117.68044,208
CI,CHR,34.72902,-119.39269,1021
CI,CIA,33.4019,-118.41502,477
CI,CJM,34.27117,-117.42448,1616
CI,CJV2,34.52978,-118.1445,1296
CI,CKP,33.55507,-114.8904,145
CI,CLC,35.81574,-117.59751,775
CI,CLI2,33.12112,-115.58016,-60
CI,CLO,34.22038,-119.00891,48
CI,CLT,34.09284,-117.31687,325
CI,COA,32.86341,-115.12339,36
CI,COK2,32.85053,-115.7284,-14
CI,CPO,32.64266,-116.48514,838
CI,CPT2,33.34183,-117.32502,771
CI,CRF,33.87352,-118.03938,17
CI,CRF,33.87352,-118.03938,18
CI,CRG,35.2422,-119.72486,1169
CI,CRN,33.87574,-117.56106,204
CI,CRR,32.88682,-115.96918,66
CI,CSH,33.6442,-116.5956,1637
CI,CSL,34.49651,-118.61621,353
CI,CSL,34.49651,-118.61621,354
CI,CTC,33.65516,-115.99006,538
CI,CTW,33.67728,-115.87214,504
CI,CVW,34.92217,-118.93913,804
CI,CWC,36.43988,-118.08016,1595
CI,CWP,33.55797,-117.55775,242
CI,CYP,32.90611,-116.62722,1013
CI,CZN,33.91375,-116.78409,538
CI,DAN,34.63745,-115.38115,428
CI,DAW,36.27148,-117.59214,0
CI,DEC,34.25353,-118.33383,519
