network,station,latitude,longitude,elevation
AZ,BZN,33.4915,-116.667,1301
AZ,CPE,32.8889,-117.1051,150
AZ,CRY,33.5654,-116.7373,1128
AZ,FRD,33.4947,-116.6022,1164
AZ,KNW,33.7141,-116.7119,1507
AZ,LVA2,33.3516,-116.5615,1435
AZ,MONP2,32.892,-116.4223,1875
AZ,MTRP,32.8203,-117.0567,200
AZ,PFO,33.6117,-116.4594,1259
AZ,RDM,33.63,-116.8478,1365
AZ,SCI2,32.915,-118.4879,486
AZ,SMER,33.4577,-117.1708,355
AZ,SND,33.5519,-116.6129,1358
AZ,TRO,33.5234,-116.4257,2628
BC,CBX,32.3131,-116.6636,1250
BC,CCX,31.86789,-116.66446,36
BC,CPX,32.4195,-115.305,192
BC,DOCTX,31.9595,-114.7452,0
BC,GUVIX,32.3029,-115.076,10
BC,PESCX,32.4338,-114.9649,0
BC,PIX,31.5629,-113.4599,77
BC,RITX,32.166,-114.96158,9
BC,RMX,32.5535,-116.0288,1278
BC,SFX,31.0376,-114.851,39
BC,SJX,32.0048,-115.948,1616
BC,SLRCX,32.4579,-114.7049,47
BC,TJX,32.51017,-117.0543,210
BC,TKX,32.5687,-116.6075,541
BC,UABX,32.6316,-115.4447,44
BC,VTX,31.3914,-115.784,746
BC,YUCAX,32.6054,-115.0094,0
BK,BDM,37.95397,-121.86554,219
BK,BKS,37.87622,-122.23558,243
BK,CMB,38.03455,-120.38651,697
BK,CVS,38.34526,-122.4584,295
BK,HAST,36.3887,-121.5514,539
BK,HAST,36.3887,-121.5514,542
BK,HELL,36.68011,-119.02282,1137
BK,HELL,36.68011,-119.02282,1140
BK,KCC,37.32363,-119.3187,888
BK,MHC,37.34164,-121.64257,1250
BK,PKD,35.94517,-120.5416,583
BK,RAMR,35.63597,-120.86984,414
BK,RAMR,35.63597,-120.86984,416
BK,SAO,36.76403,-121.44722,317
BK,THIS,35.72405,-120.22845,643
BK,TRAM,35.67691,-120.27093,642
BK,TSCN,35.54398,-120.34806,476
BK,WENL,37.62211,-121.75697,138
CE,2143,32.8399,-116.9741,108
CE,3121,32.7488,-117.2418,11
CE,3145,32.7096,-117.1579,11
CE,3148,32.7354,-117.08,79
CE,3156,32.9154,-117.1423,131
CE,3260,32.9545,-117.0416,149
CE,3468,32.5762,-117.0849,6
CE,3471,32.6691,-117.0767,23
CE,3521,32.8793,-117.2239,105
CE,12478,33.0773,-116.4382,537
CE,12500,33.0734,-116.7685,777
CE,12626,33.4262,-116.0788,-9
CE,13070,33.4851,-117.6689,18
CE,13122,33.8688,-117.7094,116
CE,13141,33.0536,-117.2454,77
CE,13477,33.1231,-117.1219,226
CE,13577,33.928,-117.8032,227
CE,13883,33.8534,-117.8578,67
CE,13884,33.7667,-117.9178,28
CE,13921,33.9753,-117.4865,213
CE,14831,33.7918,-118.3203,32
CE,14834,33.9219,-118.3268,17
CE,14935,33.8675,-118.2618,23
CE,21513,34.1657,-115.747,370
CE,23077,34.0574,-117.6976,281
CE,23163,34.1229,-117.5398,401
CE,23173,34.0018,-117.8143,279
CE,23178,34.1321,-117.9108,184
CE,23938,34.0209,-117.8657,175
CE,23939,34.1211,-117.7382,392
CE,24014,34.0449,-118.5223,95
CE,24020,34.0752,-118.2176,106
CE,24040,34.0312,-118.2078,98
CE,24103,34.1597,-118.5337,256
CE,24110,34.1086,-118.0578,123
CE,24400,34.037,-118.178,48
CE,24765,34.2198,-118.4298,241
CE,24833,34.0627,-118.3156,60
CE,24857,34.1862,-118.9296,195
CE,24944,34.2302,-118.2528,479
CE,24945,34.1632,-118.2554,174
CE,25131,34.1507,-119.198,2
CE,25282,34.2082,-119.0797,21
CE,25325,34.2434,-119.1936,21
CE,25340,34.2764,-119.2944,16
CE,35078,35.3664,-119.9239,747
CE,35110,35.263,-119.8156,695
CE,35342,35.2607,-119.8202,669
CE,36014,35.3039,-120.0222,640
CI,ACP,32.9546,-116.30338,392
CI,ADO,34.55046,-117.43391,908
CI,AGM,32.84474,-114.78425,324
CI,AGO,34.14647,-118.76699,259
CI,ALP,34.68708,-118.29946,753
CI,APL,35.34149,-116.87464,959
CI,ARV,35.1269,-118.83009,258
CI,ASP,35.86114,-119.38511,64
CI,AVC,33.33312,-118.33542,0
CI,AVM,35.06562,-116.61549,708
CI,BAC,33.6122,-117.0406,551
CI,BAI,34.77695,-118.77335,1035
CI,BAK,35.34444,-119.10445,116
CI,BAR,32.68005,-116.67215,529
CI,BBR,34.2623,-116.92075,2069
CI,BBS,33.92139,-116.98058,785
CI,BC3,33.65515,-115.45366,1137
CI,BCW,34.94009,-119.41313,1101
CI,BEL,34.0006,-115.9982,1388
CI,BFS,34.23883,-117.65853,1312
CI,BHP,33.99053,-118.36171,81
CI,BLA2,34.06931,-116.38993,1247
CI,BLC,34.24356,-118.67312,607
CI,BLY,33.7503,-114.52375,201
CI,BOM,33.36465,-115.72963,-54
CI,BOR,33.2682,-116.41716,252
CI,BRE,33.80776,-117.98116,24
CI,BTP,34.68224,-118.57398,1702
CI,BUE,34.61299,-120.19679,110
CI,CAC,34.13678,-118.12199,230
CI,CAR,35.30819,-119.84583,765
CI,CBC,34.13972,-118.12715,253
CI,CBC,34.13989,-118.12756,253
CI,CBC,34.14011,-118.1275,239
CI,CBC,34.14011,-118.1275,248
CI,CCA,35.15252,-118.01649,710
CI,CCC,35.52495,-117.36453,670
CI,CDD,32.58395,-114.35617,213
CI,CDM,34.36855,-119.34144,166
CI,CFD,34.39927,-119.51576,8
CI,CFS,34.10539,-117.28287,312
CI,CFT,34.03547,-117.11241,682
CI,CGO,36.5504,-117.80295,2795
CI,CHF,34.33341,-118.02585,1594
CI,CHI,34.18156,-119.22244,3
CI,CHK,34.06714,-118.97118,258
CI,CHN,33.99879,-117.68044,208
CI,CHR,34.72902,-119.39269,1021
CI,CIA,33.4019,-118.41502,477
CI,CJM,34.27117,-117.42448,1616
CI,CJV2,34.52978,-118.1445,1296
CI,CKP,33.55507,-114.8904,145
CI,CLC,35.81574,-117.59751,775
CI,CLI2,33.12112,-115.58016,-60
CI,CLO,34.22038,-119.00891,48
CI,CLT,34.09284,-117.31687,325
CI,COA,32.86341,-115.12339,36
CI,COK2,32.85053,-115.7284,-14
CI,CPO,32.64266,-116.48514,838
CI,CPT2,33.34183,-117.32502,771
CI,CRF,33.87352,-118.03938,17
CI,CRF,33.87352,-118.03938,18
CI,CRG,35.2422,-119.72486,1169
CI,CRN,33.87574,-117.56106,204
CI,CRR,32.88682,-115.96918,66
CI,CSH,33.6442,-116.5956,1637
CI,CSL,34.49651,-118.61621,353
CI,CSL,34.49651,-118.61621,354
CI,CTC,33.65516,-115.99006,538
CI,CTW,33.67728,-115.87214,504
CI,CVW,34.92217,-118.93913,804
CI,CWC,36.43988,-118.08016,1595
CI,CWP,33.55797,-117.55775,242
CI,CYP,32.90611,-116.62722,1013
CI,CZN,33.91375,-116.78409,538
CI,DAN,34.63745,-115.38115,428
CI,DAW,36.27148,-117.59214,0
CI,DEC,34.25353,-118.33383,519
CI,DEV,33.93597,-116.57794,337
CI,DGR,33.65001,-117.00947,650
CI,DJJ,34.10618,-118.45505,268
CI,DJJB,34.10618,-118.45505,268
CI,DLA,33.84822,-118.09624,14
